text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @WilmaSlurrie: Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#Telst…",FALSE,0,NA,14/04/2016 10:33,FALSE,NA,7.20561E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",jupjup159,5,TRUE,FALSE,NA,NA
"RT @WilmaSlurrie: Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#Telst…",FALSE,0,NA,14/04/2016 10:25,FALSE,NA,7.20559E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GaryFallon2,5,TRUE,FALSE,NA,NA
"RT @WilmaSlurrie: Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#Telst…",FALSE,0,NA,14/04/2016 10:24,FALSE,NA,7.20558E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dahalliwell61,5,TRUE,FALSE,NA,NA
"RT @WilmaSlurrie: Telstra's support for same sex marriage will be interrupted from 10.00 pm til 3.00 am every Thursday and Sunday.  
#Telst…",FALSE,0,NA,14/04/2016 9:56,FALSE,NA,7.20551E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",suthernx,5,TRUE,FALSE,NA,NA
.@Telstra is discriminating against me and only giving me 3G signal #TelstraOutage #equaldata,FALSE,2,NA,14/04/2016 8:29,FALSE,NA,7.20529E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",deandavidgray,0,FALSE,FALSE,NA,NA
RT @jasmaswes: S l o w  c l a p #TelstraOutage https://t.co/FrUCERghoJ,FALSE,0,NA,14/04/2016 7:00,FALSE,NA,7.20507E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bcrofty,7,TRUE,FALSE,NA,NA
"RT @BedBugsBaby: My mum is awesome - #TelstraOutage from supporting #marriageequality - ""a basic human right""! @vanbadham https://t.co/J131…",FALSE,0,NA,14/04/2016 4:43,FALSE,NA,7.20472E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Taco_Lad,2,TRUE,FALSE,NA,NA
"RT @BedBugsBaby: My mum is awesome - #TelstraOutage from supporting #marriageequality - ""a basic human right""! @vanbadham https://t.co/J131…",FALSE,0,NA,14/04/2016 4:40,FALSE,NA,7.20472E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",vanbadham,2,TRUE,FALSE,NA,NA
"My mum is awesome - #TelstraOutage from supporting #marriageequality - ""a basic human right""! @vanbadham https://t.co/J131lFXOSK",FALSE,15,NA,14/04/2016 4:35,FALSE,NA,7.20471E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BedBugsBaby,2,FALSE,FALSE,NA,NA
@Telstra @Telstra_news Good Bye! I will be taking my business elsewhere! #MarriageEquality #Telstra #TelstraOutage,FALSE,1,Telstra,14/04/2016 2:21,FALSE,NA,7.20437E+17,61636429,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stevenrussellj,0,FALSE,FALSE,NA,NA
