text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @LibtardBanshee: OH MY! #LGBT #telstra #marriageequality #genderequality #auspol @Telstra @Telstra_news RT @jasetheac3: well then https:…,FALSE,0,NA,14/04/2016 12:49,FALSE,NA,7.20595E+17,NA,"<a href=""http://tweetli.st/"" rel=""nofollow"">TweetList!</a>",The_Rebel_Heart,1,TRUE,FALSE,NA,NA
OH MY! #LGBT #telstra #marriageequality #genderequality #auspol @Telstra @Telstra_news RT @jasetheac3: well then https://t.co/AAFP54Y7Vm,FALSE,1,jasetheac3,14/04/2016 12:44,FALSE,7.20463E+17,7.20593E+17,21637931,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",LibtardBanshee,1,FALSE,FALSE,NA,NA
RT @The_Rebel_Heart: @natwick_cam @Telstra did she accuse you of being in a ideology ? That's what #Telstra Staff Do lately ! Lol,FALSE,0,NA,14/04/2016 12:41,FALSE,NA,7.20593E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">ernesthieiendep</a>",ernesthieiendep,1,TRUE,FALSE,NA,NA
@UKMumstv we love our kittens/cats in our household #Telstra #twitterparty #win https://t.co/b4uAFyv6Xe,FALSE,1,UKMumstv,14/04/2016 12:35,FALSE,7.20591E+17,7.20591E+17,234776274,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ktemrfamily,0,FALSE,FALSE,NA,NA
RT @the_howie: If you have a conviction but then it offends a self righteous minority so you dilute your conviction it turns into an ideal…,FALSE,0,NA,14/04/2016 12:21,FALSE,NA,7.20588E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SirBenWheatley,1,TRUE,FALSE,NA,NA
@natwick_cam @Telstra did she accuse you of being in a ideology ? That's what #Telstra Staff Do lately ! Lol,FALSE,0,natwick_cam,14/04/2016 12:10,FALSE,7.20584E+17,7.20585E+17,926275201,"<a href=""http://tweetli.st/"" rel=""nofollow"">TweetList!</a>",The_Rebel_Heart,1,FALSE,FALSE,NA,NA
Starting to get very old. Just repair the lines already. #Telstra #speedtest https://t.co/92EUOJRDMd,FALSE,1,NA,14/04/2016 12:08,FALSE,NA,7.20584E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TroyPudney,0,FALSE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 12:01,FALSE,NA,7.20583E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",teelinden,40,TRUE,FALSE,NA,NA
Great night with our best and brightest and their mentors. Mayors #Telstra Technology Awards #sunshinecoast. https://t.co/pf4pAqGjwj,FALSE,1,NA,14/04/2016 11:31,FALSE,NA,7.20575E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JamiesonMark,0,FALSE,FALSE,NA,NA
RT @francosoup: Dear #Telstra if you want to avoid controversial issues consider cutting your commercial ties w/ an institution that covers…,FALSE,0,NA,14/04/2016 11:29,FALSE,NA,7.20575E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SpaceJunk01,32,TRUE,FALSE,NA,NA
Well. We now know old male child rapists have more power than the Australian people in a publicly listed company. #Telstra #CatholicChurch,FALSE,0,NA,14/04/2016 11:23,FALSE,NA,7.20573E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SpaceJunk01,0,FALSE,FALSE,NA,NA
RT @MrDenmore: How about we organise a consumer boycott of #Telstra for bowing to the medieval bigots and child abusers of the Catholic Chu…,FALSE,0,NA,14/04/2016 11:22,FALSE,NA,7.20573E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PeterMcDermott,67,TRUE,FALSE,NA,NA
RT @Richard_Carroll: So #Telstra still supports #marriageequality - but will no longer 'publicly participate in the debate.' How useful. ht…,FALSE,0,NA,14/04/2016 11:19,FALSE,NA,7.20572E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PeterMcDermott,1,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 11:13,FALSE,NA,7.20571E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ShayneMallard,40,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 11:10,FALSE,NA,7.2057E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",thothibis,40,TRUE,FALSE,NA,NA
RT @samesame: Yikes. @Telstra #telstra https://t.co/cZexh0wMud,FALSE,0,NA,14/04/2016 10:49,FALSE,NA,7.20565E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">sasha6qma2</a>",sasha6qma2,20,TRUE,FALSE,NA,NA
"RT @MrDenmore: In trying to appease both gays and Catholics, isn't #Telstra assuming there is no overlap between the two?",FALSE,0,NA,14/04/2016 10:49,FALSE,NA,7.20565E+17,NA,"<a href=""http://www.vipvipvip.com"" rel=""nofollow"">stephentaoilsa</a>",stephentaoilsa,9,TRUE,FALSE,NA,NA
RT @the_wraith99: @telstra continues to excel itself in sheer incompetence. Good job. #telstra #sarcasm #shitjob #incompetent.,FALSE,0,NA,14/04/2016 10:49,FALSE,NA,7.20565E+17,NA,"<a href=""https://apps.twitter.com/app/new"" rel=""nofollow"">kfbhjkjAHDJCavgudcjbSKDVBC </a>",LindJuliet,1,TRUE,FALSE,NA,NA
RT @GetUp: glad Telstra has explained their step back from equality isn't a step back from equality (hot tip: it is) #telstra https://t.co/…,FALSE,0,NA,14/04/2016 10:39,FALSE,NA,7.20562E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",srjacques1,40,TRUE,FALSE,NA,NA
